id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1864422,1,2016-01-01 00:06:24,2016-01-01 00:31:36,1,-73.99495697021484,40.74512100219727,-73.95465850830078,40.77878189086913,N,1512
id0275133,1,2016-01-01 00:06:47,2016-01-01 00:16:55,1,-73.99046325683594,40.75100708007813,-73.99276733398438,40.72535705566406,N,608
id3288513,1,2016-01-01 00:06:56,2016-01-01 00:25:36,4,-74.0015869140625,40.72729110717773,-73.92892456054686,40.70818328857422,N,1120
id2162784,2,2016-01-01 00:06:59,2016-01-01 00:11:26,1,-73.98215484619139,40.73116302490234,-73.9881134033203,40.72000122070313,N,267
id1323694,2,2016-01-01 00:07:04,2016-01-01 00:14:30,1,-73.98643493652342,40.745697021484375,-73.97419738769531,40.7370719909668,N,446
id3164198,1,2016-01-01 00:07:06,2016-01-01 00:29:55,2,-73.98509216308595,40.73716735839844,-73.9988784790039,40.84947967529297,N,1369
id1004094,2,2016-01-01 00:07:07,2016-01-01 00:17:04,3,-73.95364379882812,40.77526092529297,-73.97908782958984,40.76178359985352,N,597
id1560712,2,2016-01-01 00:07:22,2016-01-01 00:18:21,1,-73.97852325439453,40.789100646972656,-73.94638061523438,40.77690124511719,N,659
id2041977,2,2016-01-01 00:07:27,2016-01-01 00:13:50,1,-73.98226165771484,40.75159072875977,-73.98514556884766,40.73871994018555,N,383
id2660288,2,2016-01-01 00:07:29,2016-01-01 00:16:03,1,-73.9896469116211,40.71908950805664,-73.9833984375,40.7357177734375,N,514
id0760413,2,2016-01-01 00:07:34,2016-01-01 00:19:12,1,-73.97750091552734,40.76399612426758,-73.97734069824219,40.78457260131836,N,698
id2265799,1,2016-01-01 00:07:46,2016-01-01 00:33:15,1,-73.97222137451173,40.67683029174805,-74.02483367919923,40.63616180419922,N,1529
id1436179,1,2016-01-01 00:07:47,2016-01-01 00:17:50,2,-73.98626708984375,40.73276901245117,-73.9609832763672,40.760990142822266,N,603
id1693965,2,2016-01-01 00:07:52,2016-01-01 00:23:36,1,-73.98831176757811,40.72318649291992,-73.9426040649414,40.716156005859375,N,944
id1019488,2,2016-01-01 00:08:07,2016-01-01 00:22:14,1,-73.97611999511719,40.74908065795898,-74.0074462890625,40.7264518737793,N,847
id1781008,2,2016-01-01 00:08:09,2016-01-01 00:30:00,2,-73.9921875,40.734519958496094,-73.99117279052734,40.765491485595696,N,1311
id2608409,1,2016-01-01 00:08:11,2016-01-01 00:25:03,1,-73.87303924560547,40.77410507202149,-73.98899841308595,40.73481750488281,Y,1012
id2270359,1,2016-01-01 00:08:15,2016-01-01 00:09:42,1,-73.98240661621094,40.73148727416992,-73.97903442382812,40.73601150512695,N,87
id1043337,1,2016-01-01 00:08:29,2016-01-01 00:19:54,4,-73.98776245117188,40.75037384033203,-74.00421905517578,40.7424201965332,N,685
id0489547,2,2016-01-01 00:08:37,2016-01-01 00:12:41,2,-73.99320220947266,40.7628288269043,-73.98546600341797,40.76877212524415,N,244
id3016902,1,2016-01-01 00:08:38,2016-01-01 00:15:10,1,-73.99431610107422,40.75994110107422,-73.9783706665039,40.78293991088867,N,392
id3453922,2,2016-01-01 00:08:40,2016-01-01 00:15:35,3,-73.9932861328125,40.72226333618164,-73.98625946044923,40.7310905456543,N,415
id0967740,1,2016-01-01 00:08:46,2016-01-01 00:19:09,1,-73.9815444946289,40.75899887084961,-73.97071838378906,40.76065444946289,N,623
id1014156,2,2016-01-01 00:08:47,2016-01-01 00:12:37,3,-74.00364685058594,40.73418426513672,-74.000732421875,40.7307243347168,N,230
id0502742,2,2016-01-01 00:08:49,2016-01-01 00:19:31,2,-73.972900390625,40.78677368164063,-73.94762420654298,40.83491516113281,N,642
id3619619,2,2016-01-01 00:08:52,2016-01-01 00:12:42,3,-73.97315216064453,40.780029296875,-73.96832275390625,40.7906608581543,N,230
id3554494,2,2016-01-01 00:08:53,2016-01-01 00:15:19,6,-73.97187042236328,40.75840377807617,-73.9679183959961,40.75786972045898,N,386
id3512166,2,2016-01-01 00:09:01,2016-01-01 00:19:32,2,-73.98048400878906,40.78346252441406,-73.95332336425781,40.77671813964844,N,631
id1276140,1,2016-01-01 00:09:01,2016-01-01 00:16:24,1,-73.97159576416014,40.76616668701172,-73.96800994873048,40.75263214111328,N,443
id2336715,2,2016-01-01 00:09:03,2016-01-01 00:19:25,2,-73.98435974121094,40.748985290527344,-73.99628448486328,40.71605682373047,N,622
id0672409,2,2016-01-01 00:09:09,2016-01-01 00:21:17,1,-73.98438262939453,40.7370491027832,-73.98533630371094,40.746280670166016,N,728
id1675924,1,2016-01-01 00:09:15,2016-01-01 00:25:50,1,-73.9925308227539,40.68355941772461,-73.96355438232422,40.65141677856445,N,995
id3421970,2,2016-01-01 00:09:16,2016-01-01 00:39:45,1,-74.00701904296875,40.72573852539063,-73.95665740966798,40.74851989746094,N,1829
id3686702,1,2016-01-01 00:09:25,2016-01-01 00:22:39,1,-73.92412567138672,40.76982498168945,-73.97762298583984,40.749671936035156,N,794
id3530028,2,2016-01-01 00:09:36,2016-01-01 00:21:55,1,-73.98092651367188,40.74196243286133,-73.92174530029298,40.74329376220703,N,739
id2280748,1,2016-01-01 00:09:36,2016-01-01 00:10:46,1,-73.97631072998048,40.78583526611328,-73.97154998779298,40.78789138793945,N,70
id1880207,1,2016-01-01 00:09:55,2016-01-01 01:09:37,4,-73.98857116699219,40.75875473022461,-73.86470794677734,40.834285736083984,N,3582
id0441132,2,2016-01-01 00:10:25,2016-01-01 00:16:30,1,-74.00650024414062,40.73967742919922,-74.00687408447266,40.74409103393555,N,365
id1234112,1,2016-01-01 00:10:25,2016-01-01 00:18:47,2,-73.98881530761719,40.72150802612305,-74.00443267822266,40.70706176757813,N,502
id3933480,2,2016-01-01 00:10:26,2016-01-01 00:13:51,1,-73.97371673583984,40.748008728027344,-73.97853088378906,40.74497985839844,N,205
id3420186,2,2016-01-01 00:10:47,2016-01-01 00:19:14,1,-73.98554992675781,40.738529205322266,-73.98882293701173,40.74848175048828,N,507
id2664946,2,2016-01-01 00:10:53,2016-01-01 00:16:56,4,-73.9486312866211,40.78493881225585,-73.97136688232422,40.74528884887695,N,363
id2389558,1,2016-01-01 00:11:06,2016-01-01 00:20:00,1,-73.93529510498048,40.69802856445313,-73.94961547851562,40.715576171875,N,534
id2100728,1,2016-01-01 00:11:17,2016-01-01 00:15:08,4,-73.98892211914062,40.73665618896485,-73.98138427734375,40.74125289916992,N,231
id3852699,2,2016-01-01 00:11:22,2016-01-01 00:27:47,3,-74.00029754638672,40.728759765625,-73.98110961914062,40.74470138549805,N,985
id1006852,1,2016-01-01 00:11:33,2016-01-01 00:31:39,1,-73.98627471923827,40.74730682373047,-73.99465942382812,40.769325256347656,N,1206
id3206203,1,2016-01-01 00:11:36,2016-01-01 00:29:09,1,-73.97271728515625,40.76485443115234,-73.91144561767578,40.77657318115234,N,1053
id0880957,2,2016-01-01 00:11:41,2016-01-01 00:15:14,1,-73.97337341308594,40.78702926635742,-73.98148345947266,40.784088134765625,N,213
id0987539,2,2016-01-01 00:11:46,2016-01-01 00:19:40,1,-73.96002197265625,40.79804611206055,-73.94003295898438,40.80133819580078,N,474
id2330529,1,2016-01-01 00:11:48,2016-01-01 00:16:40,1,-73.98089599609375,40.729656219482415,-73.97625732421875,40.72343444824219,N,292
id1294759,2,2016-01-01 00:11:49,2016-01-01 00:27:46,1,-74.00204467773438,40.74766159057617,-74.00535583496094,40.71126174926758,N,957
id1035006,2,2016-01-01 00:11:56,2016-01-01 00:20:40,2,-73.95132446289062,40.8251953125,-73.93431091308595,40.84531784057617,N,524
id2418487,2,2016-01-01 00:12:00,2016-01-01 00:20:09,1,-74.00083923339844,40.73182678222656,-73.98532104492188,40.73240661621094,N,489
id1635064,2,2016-01-01 00:12:03,2016-01-01 00:19:57,1,-73.9881820678711,40.73363876342773,-73.99436950683594,40.719486236572266,N,474
id0582638,2,2016-01-01 00:12:12,2016-01-01 00:24:34,2,-73.98932647705078,40.71901321411133,-73.99514770507811,40.666099548339844,N,742
id3734778,1,2016-01-01 00:12:14,2016-01-01 00:40:56,1,-73.98967742919923,40.75271606445313,-73.9952621459961,40.717628479003906,N,1722
id1770457,2,2016-01-01 00:12:15,2016-01-01 00:36:17,2,-73.87296295166014,40.7740592956543,-73.99930572509766,40.739341735839844,N,1442
id3914876,1,2016-01-01 00:12:42,2016-01-01 00:17:53,1,-73.99274444580078,40.7409782409668,-73.98841094970702,40.73363494873047,N,311
id2633378,1,2016-01-01 00:12:51,2016-01-01 00:23:49,1,-73.9932632446289,40.75230026245117,-73.9957504272461,40.73303604125977,N,658
id2612636,2,2016-01-01 00:12:53,2016-01-01 00:33:04,1,-74.0125732421875,40.702430725097656,-73.9911880493164,40.76544189453125,N,1211
id3677668,2,2016-01-01 00:13:15,2016-01-01 00:21:12,1,-73.98416137695312,40.73743057250977,-73.96263885498048,40.766700744628906,N,477
id3388812,1,2016-01-01 00:13:19,2016-01-01 00:23:31,3,-73.9752655029297,40.76151657104492,-73.95830535888672,40.76698684692383,N,612
id0178245,1,2016-01-01 00:13:21,2016-01-01 00:21:53,1,-73.89049530029298,40.74668502807617,-73.86829376220702,40.75234603881836,N,512
id3205616,2,2016-01-01 00:13:22,2016-01-01 00:38:42,5,-73.99237823486328,40.72498321533203,-73.97575378417969,40.77957534790039,N,1520
id0121081,1,2016-01-01 00:13:23,2016-01-01 00:23:27,1,-73.99208068847656,40.75025177001953,-73.97256469726562,40.74660110473633,N,604
id0986197,2,2016-01-01 00:13:28,2016-01-01 00:33:52,1,-73.97636413574219,40.77549362182617,-73.99606323242188,40.7235221862793,N,1224
id0177210,2,2016-01-01 00:13:37,2016-01-01 00:34:17,1,-73.9827423095703,40.77744674682617,-73.92208099365234,40.76616668701172,N,1240
id1659866,1,2016-01-01 00:13:38,2016-01-01 00:23:25,1,-73.9987030029297,40.729576110839844,-73.97846221923827,40.72877502441406,N,587
id3828931,1,2016-01-01 00:13:42,2016-01-01 00:30:45,2,-73.99198913574219,40.72561264038085,-73.99411010742188,40.75123596191406,N,1023
id2050754,1,2016-01-01 00:13:59,2016-01-01 00:24:50,1,-73.96422576904298,40.8024787902832,-73.94062042236328,40.829551696777344,N,651
id1943538,1,2016-01-01 00:14:09,2016-01-01 00:42:07,1,-73.99419403076173,40.74555969238281,-73.9814224243164,40.77857971191406,N,1678
id0535590,1,2016-01-01 00:14:13,2016-01-01 00:42:11,1,-73.97783660888672,40.76365280151367,-73.99467468261719,40.71668243408203,N,1678
id3205136,2,2016-01-01 00:14:24,2016-01-01 00:38:09,1,-74.00798797607422,40.74022674560547,-73.98130798339844,40.74541473388672,N,1425
id2314185,2,2016-01-01 00:14:32,2016-01-01 00:27:32,1,-73.95189666748048,40.80421829223633,-73.9792709350586,40.77510833740234,N,780
id0614081,2,2016-01-01 00:14:46,2016-01-01 00:29:15,1,-73.99667358398438,40.75783920288085,-74.01444244384766,40.7082405090332,N,869
id1071006,1,2016-01-01 00:14:50,2016-01-01 00:21:49,2,-73.98314666748048,40.74276351928711,-73.99162292480467,40.74472427368164,N,419
id1309836,2,2016-01-01 00:14:51,2016-01-01 00:19:51,1,-73.98470306396483,40.686920166015625,-73.98352813720702,40.695899963378906,N,300
id3754001,2,2016-01-01 00:15:03,2016-01-01 00:28:27,1,-73.97737884521484,40.75883865356445,-73.98358154296875,40.738441467285156,N,804
id3847265,1,2016-01-01 00:15:06,2016-01-01 00:26:10,1,-73.97051239013672,40.79664993286133,-73.94923400878906,40.80746841430664,N,664
id3280273,2,2016-01-01 00:15:06,2016-01-01 00:30:26,2,-73.97693634033203,40.75991439819336,-73.98152160644531,40.751777648925774,N,920
id2139933,2,2016-01-01 00:15:12,2016-01-01 00:16:43,1,-73.96221923828125,40.77617645263672,-73.95858764648438,40.78080749511719,N,91
id1632188,2,2016-01-01 00:15:23,2016-01-01 00:18:07,1,-73.9903793334961,40.76152801513672,-73.99049377441406,40.76135635375977,N,164
id1008975,2,2016-01-01 00:15:32,2016-01-01 00:42:05,1,-73.9853286743164,40.74198913574219,-73.92759704589844,40.86553955078125,N,1593
id1852789,1,2016-01-01 00:15:35,2016-01-01 00:27:38,1,-73.99503326416014,40.76977157592773,-73.99907684326173,40.74003601074219,N,723
id1210692,1,2016-01-01 00:15:45,2016-01-01 00:27:36,4,-73.9930648803711,40.738128662109375,-73.99285125732422,40.7451400756836,N,711
id0846731,2,2016-01-01 00:15:47,2016-01-01 00:24:02,1,-74.00775146484375,40.74528884887695,-73.99510192871094,40.75620651245117,N,495
id3160933,2,2016-01-01 00:16:09,2016-01-01 00:36:17,1,-73.98230743408203,40.73527145385742,-73.96640014648438,40.79952621459961,N,1208
id3621631,2,2016-01-01 00:16:13,2016-01-01 00:29:34,1,-74.00672149658203,40.74422836303711,-74.0080795288086,40.704566955566406,N,801
id0633946,2,2016-01-01 00:16:20,2016-01-01 00:35:29,1,-73.9844207763672,40.74978637695313,-74.00703430175781,40.70675277709961,N,1149
id1320937,1,2016-01-01 00:16:33,2016-01-01 00:35:08,1,-73.9639129638672,40.77670669555664,-73.93557739257811,40.85024642944336,N,1115
id1378987,2,2016-01-01 00:16:45,2016-01-01 00:46:57,1,-73.99059295654298,40.74612808227539,-73.9515609741211,40.825138092041016,N,1812
id0874252,1,2016-01-01 00:17:00,2016-01-01 00:24:58,4,-73.9964599609375,40.74275588989258,-73.99156188964845,40.72703170776367,N,478
id3851045,1,2016-01-01 00:17:04,2016-01-01 00:27:47,1,-73.9768295288086,40.7589225769043,-73.95006561279298,40.78003692626953,N,643
id3700650,1,2016-01-01 00:17:04,2016-01-01 00:25:17,2,-73.97221374511719,40.765296936035156,-73.97700500488281,40.75906372070313,N,493
id2675993,1,2016-01-01 00:17:13,2016-01-01 00:38:11,2,-73.97673034667969,40.68284606933594,-73.9561004638672,40.77545928955078,N,1258
id2905168,2,2016-01-01 00:17:15,2016-01-01 00:38:57,1,-73.96833038330078,40.77080154418945,-74.00386810302734,40.74193954467773,N,1302
id0615830,2,2016-01-01 00:17:22,2016-01-01 00:35:45,1,-73.97541046142578,40.76081085205078,-73.98193359375,40.75213623046875,N,1103
id2516296,2,2016-01-01 00:17:44,2016-01-01 00:24:42,2,-74.00517272949219,40.70306015014648,-73.99369049072266,40.72093963623047,N,418
id1126109,1,2016-01-01 00:17:45,2016-01-01 00:30:17,2,-73.96080017089844,40.772220611572266,-73.98164367675781,40.74696350097656,N,752
id3228429,2,2016-01-01 00:17:50,2016-01-01 00:24:22,1,-73.9500961303711,40.80158996582031,-73.943115234375,40.78750991821289,N,392
id2788317,2,2016-01-01 00:17:55,2016-01-01 00:43:05,1,-73.94866943359375,40.78205490112305,-74.00457763671875,40.7229118347168,N,1510
id3150178,2,2016-01-01 00:18:07,2016-01-01 00:34:02,1,-73.97496795654298,40.7777214050293,-73.97388458251955,40.75742721557617,N,955
id2685361,1,2016-01-01 00:18:08,2016-01-01 00:43:49,1,-74.00861358642578,40.71967697143555,-73.93904113769531,40.843509674072266,N,1541
id3689002,1,2016-01-01 00:18:18,2016-01-01 00:41:54,4,-74.00566864013672,40.73800659179688,-73.96466064453125,40.79258728027344,N,1416
id2753900,2,2016-01-01 00:18:22,2016-01-01 00:25:46,1,-73.99513244628906,40.76948928833008,-73.97532653808595,40.78607940673828,N,444
id2385969,2,2016-01-01 00:18:31,2016-01-01 00:37:10,6,-73.99458312988281,40.71898651123047,-73.9924087524414,40.75358963012695,N,1119
id3750179,1,2016-01-01 00:18:36,2016-01-01 00:27:15,2,-74.00588989257811,40.74014663696289,-73.99472045898438,40.7503776550293,N,519
id1306004,1,2016-01-01 00:18:37,2016-01-01 00:25:17,1,-73.9949722290039,40.75517654418945,-73.99269104003906,40.74839401245117,N,400
id2956319,2,2016-01-01 00:19:01,2016-01-01 00:34:13,4,-73.97557830810547,40.78691101074219,-73.9424285888672,40.83459091186523,N,912
id1307484,1,2016-01-01 00:19:05,2016-01-01 00:23:29,1,-73.99057006835938,40.76127624511719,-73.99584197998048,40.7641716003418,N,264
id3949300,2,2016-01-01 00:19:08,2016-01-01 00:29:47,1,-74.00215148925781,40.72957229614258,-73.9991683959961,40.74389266967773,N,639
id2297336,2,2016-01-01 00:19:18,2016-01-01 00:34:41,2,-73.97813415527344,40.729358673095696,-73.95403289794923,40.7844123840332,N,923
id0697399,1,2016-01-01 00:19:18,2016-01-01 00:30:43,1,-73.99173736572266,40.75437927246094,-73.99583435058595,40.75509643554688,N,685
id2299182,1,2016-01-01 00:19:23,2016-01-01 00:26:06,1,-73.95384979248048,40.77099990844727,-73.97772979736328,40.77909469604492,N,403
id1599467,2,2016-01-01 00:19:26,2016-01-01 00:29:39,5,-73.99803161621094,40.719764709472656,-73.9940414428711,40.695472717285156,N,613
id1823684,2,2016-01-01 00:19:28,2016-01-01 00:37:59,1,-73.98342895507811,40.7478904724121,-73.97950744628906,40.78371810913085,N,1111
id3453600,2,2016-01-01 00:19:31,2016-01-01 00:37:16,2,-74.00559997558595,40.7404899597168,-73.96772766113281,40.79288864135742,N,1065
id3632346,2,2016-01-01 00:19:35,2016-01-01 00:24:22,1,-73.96742248535155,40.7882080078125,-73.97117614746094,40.79579162597656,N,287
id1413919,1,2016-01-01 00:19:37,2016-01-01 00:43:10,1,-74.00852203369139,40.74535751342773,-73.94847106933594,40.78493881225585,N,1413
id3187104,2,2016-01-01 00:19:57,2016-01-01 00:31:12,1,-73.96743774414062,40.75551223754883,-73.92857360839844,40.764812469482415,N,675
id2236484,1,2016-01-01 00:19:58,2016-01-01 00:21:22,2,-73.97543334960938,40.78701400756836,-73.97036743164062,40.79389572143555,N,84
id3991965,2,2016-01-01 00:20:08,2016-01-01 00:29:16,1,-73.96304321289062,40.79877853393555,-73.94750213623048,40.81505966186523,N,548
id0862063,2,2016-01-01 00:20:12,2016-01-01 00:27:57,1,-73.91600036621094,40.7463493347168,-73.88553619384766,40.7554817199707,N,465
id3764623,2,2016-01-01 00:20:15,2016-01-01 00:28:19,5,-73.97171020507811,40.75943374633789,-73.9581069946289,40.781883239746094,N,484
id2736660,1,2016-01-01 00:20:28,2016-01-01 00:24:09,3,-73.9992446899414,40.72764587402344,-74.0059051513672,40.72709274291992,N,221
id0571277,1,2016-01-01 00:20:29,2016-01-01 00:21:41,1,-73.98488616943358,40.73621368408203,-73.9881591796875,40.73768997192383,N,72
id0996861,2,2016-01-01 00:20:34,2016-01-01 00:32:39,1,-73.94727325439453,40.775840759277344,-73.98477172851562,40.72813034057617,N,725
id0551434,1,2016-01-01 00:20:36,2016-01-01 00:27:56,1,-74.0040512084961,40.74737548828125,-74.00338745117188,40.750652313232415,N,440
id0125867,1,2016-01-01 00:20:41,2016-01-01 00:38:40,1,-73.99498748779298,40.75517654418945,-73.99678039550781,40.72082901000977,N,1079
id2117730,2,2016-01-01 00:20:49,2016-01-01 00:28:41,1,-73.98627471923827,40.747371673583984,-73.98040771484375,40.73363876342773,N,472
id3985015,1,2016-01-01 00:20:54,2016-01-01 00:36:16,2,-74.00736999511719,40.74312210083008,-74.00064086914062,40.720516204833984,N,922
id3709283,1,2016-01-01 00:20:59,2016-01-01 00:25:43,3,-73.98328399658203,40.76681518554688,-73.98391723632812,40.766998291015625,N,284
id3860690,2,2016-01-01 00:21:13,2016-01-01 00:35:44,2,-73.97295379638672,40.76445770263672,-73.92800903320312,40.76317596435547,N,871
id1735510,2,2016-01-01 00:21:15,2016-01-01 00:33:57,1,-74.00634002685547,40.71673202514648,-73.9969482421875,40.74299621582031,N,762
id3762816,1,2016-01-01 00:21:19,2016-01-01 00:27:49,1,-73.97582244873048,40.776283264160156,-73.97968292236328,40.78640365600585,N,390
id0104973,2,2016-01-01 00:21:27,2016-01-01 00:34:37,1,-73.98835754394531,40.73455047607422,-73.9936294555664,40.687103271484375,N,790
id3569182,2,2016-01-01 00:21:30,2016-01-01 00:41:36,1,-73.9881820678711,40.73455810546875,-73.94696044921875,40.71426010131836,N,1206
id2104227,2,2016-01-01 00:21:31,2016-01-01 00:24:58,1,-73.96582794189453,40.75432586669922,-73.9545669555664,40.76718521118164,N,207
id3377465,1,2016-01-01 00:21:41,2016-01-01 00:25:21,4,-73.9885482788086,40.77497482299805,-73.97828674316406,40.78316879272461,N,220
id0507270,2,2016-01-01 00:21:55,2016-01-01 00:26:00,6,-73.94844818115234,40.78229522705078,-73.94961547851562,40.77093124389648,N,245
id3621477,2,2016-01-01 00:21:57,2016-01-01 00:54:06,1,-73.94329071044923,40.83647537231445,-73.92504119873048,40.74413299560547,N,1929
id0631283,1,2016-01-01 00:22:09,2016-01-01 00:41:25,2,-73.98870086669923,40.73115921020508,-73.9503173828125,40.78057098388672,N,1156
id0037223,2,2016-01-01 00:22:16,2016-01-01 00:49:53,1,-73.77674865722656,40.64596939086913,-73.96048736572266,40.76797866821289,N,1657
id1080935,1,2016-01-01 00:22:17,2016-01-01 00:25:38,1,-73.95311737060547,40.78086471557617,-73.95018005371094,40.778900146484375,N,201
id0640354,1,2016-01-01 00:22:19,2016-01-01 00:27:09,4,-73.9725570678711,40.78085708618164,-73.9629364013672,40.79394912719727,N,290
id2537642,2,2016-01-01 00:22:32,2016-01-01 00:32:49,1,-73.98084259033203,40.72985076904297,-73.97648620605469,40.76211166381836,N,617
id2553721,2,2016-01-01 00:22:37,2016-01-01 00:24:58,6,-73.99410247802734,40.76163864135742,-73.98786163330078,40.7686882019043,N,141
id3339518,1,2016-01-01 00:22:37,2016-01-01 01:05:56,1,-73.95883178710938,40.78377151489258,-73.99140930175781,40.7319221496582,N,2599
id1605007,2,2016-01-01 00:22:39,2016-01-01 00:45:35,2,-73.98046875,40.75363540649415,-73.96553802490234,40.80570602416992,N,1376
id3284641,1,2016-01-01 00:22:52,2016-01-01 00:38:03,1,-73.99544525146483,40.72163009643555,-73.96537780761719,40.755046844482415,N,911
id0863823,2,2016-01-01 00:22:55,2016-01-01 00:35:15,1,-73.99465179443358,40.75597381591797,-73.98750305175781,40.732818603515625,N,740
id3787475,1,2016-01-01 00:22:55,2016-01-01 00:34:42,1,-73.96648406982422,40.75627899169922,-73.98016357421875,40.78978729248047,N,707
id1784392,2,2016-01-01 00:22:56,2016-01-01 00:34:53,1,-73.99005126953125,40.771331787109375,-73.98992156982422,40.76210021972656,N,717
id2315313,2,2016-01-01 00:23:00,2016-01-01 00:38:32,1,-74.00469970703125,40.734031677246094,-73.97994232177734,40.734878540039055,N,932
id0908265,2,2016-01-01 00:23:01,2016-01-01 00:52:18,1,-73.99712371826173,40.72230911254883,-73.98043060302734,40.7772216796875,N,1757
id3298816,2,2016-01-01 00:23:08,2016-01-01 00:41:08,1,-73.99825286865234,40.740398406982415,-74.00732421875,40.70518493652344,N,1080
id1035939,2,2016-01-01 00:23:10,2016-01-01 00:41:48,6,-73.95669555664062,40.76714706420898,-73.98057556152342,40.74924087524415,N,1118
id2860315,2,2016-01-01 00:23:32,2016-01-01 00:37:17,1,-73.9991455078125,40.73429870605469,-73.99285125732422,40.752925872802734,N,825
id1687219,2,2016-01-01 00:23:33,2016-01-01 00:41:23,1,-73.9764633178711,40.79087829589844,-73.94029235839844,40.83300018310547,N,1070
id0669126,1,2016-01-01 00:23:34,2016-01-01 00:30:54,1,-73.98615264892578,40.72631072998047,-73.99990844726562,40.73457336425781,N,440
id1898289,2,2016-01-01 00:23:43,2016-01-01 00:43:22,3,-73.94222259521484,40.701961517333984,-73.99777984619139,40.74039077758789,N,1179
id0269886,1,2016-01-01 00:23:48,2016-01-01 00:34:49,2,-73.96262359619139,40.77569580078125,-73.97882843017578,40.76662063598633,N,661
id3012953,2,2016-01-01 00:23:49,2016-01-01 00:44:33,1,-73.96707916259766,40.77286148071289,-73.91710662841797,40.879737854003906,N,1244
id2859381,1,2016-01-01 00:23:51,2016-01-01 01:12:11,4,-73.96826171875,40.77055740356445,-74.01242828369139,40.70429992675781,N,2900
id0436828,2,2016-01-01 00:23:51,2016-01-01 00:29:37,1,-74.0003204345703,40.72871017456055,-73.9964828491211,40.72039031982422,N,346
